Time(s), X(m), Y(m), Altitude_Z(m), Roll(rad), Pitch(rad), Yaw(rad), T1(N), T2(N), T3(N), T4(N)
7.944862, -0.000000, 0.000000, -104.668184, -0.000000, -0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
7.969925, -0.000000, 0.000000, -105.312351, -0.000000, -0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
7.994987, -0.000000, 0.000000, -105.958492, -0.000000, -0.000000, 0.000000, 0.075015, 0.075015, 0.075015, 0.075015
8.020050, -0.000000, 0.000000, -106.606718, 0.000000, 0.000000, -0.007489, 0.075015, 0.042302, 0.075015, 0.042302
8.045113, -0.000000, 0.000000, -107.257781, 0.000000, 0.000000, -0.032559, 0.075015, 0.020674, 0.075015, 0.020674
8.070175, -0.000000, 0.000000, -107.912311, 0.000000, 0.000000, -0.068156, 0.075015, 0.010101, 0.075015, 0.010101
8.095238, -0.000000, 0.000000, -108.570614, 0.000000, 0.000000, -0.109322, 0.075015, 0.004936, 0.075015, 0.004936
8.120301, -0.000000, 0.000000, -109.232840, 0.000000, 0.000000, -0.152720, 0.075015, 0.002412, 0.075015, 0.002412
8.145363, -0.000000, 0.000000, -109.899065, 0.000000, 0.000000, -0.196093, 0.075015, 0.001179, 0.075015, 0.001179
8.170426, -0.000000, 0.000000, -110.569323, 0.000000, 0.000000, -0.237911, 0.075015, 0.000576, 0.075015, 0.000576
8.195489, -0.000000, 0.000000, -111.243632, 0.000000, 0.000000, -0.277110, 0.075015, 0.000281, 0.075015, 0.000281
8.220551, -0.000000, 0.000000, -111.922000, 0.000000, 0.000000, -0.312965, 0.075015, 0.000137, 0.075015, 0.000137
8.245614, -0.000000, 0.000000, -112.604432, 0.000000, 0.000000, -0.344975, 0.075015, 0.000067, 0.075015, 0.000067
8.270677, -0.000000, 0.000000, -113.290930, 0.000000, 0.000000, -0.372775, 0.075015, 0.000033, 0.075015, 0.000033
8.295739, -0.000000, 0.000000, -113.981495, 0.000000, 0.000000, -0.396136, 0.075015, 0.000016, 0.075015, 0.000016
8.320802, -0.000000, 0.000000, -114.676128, 0.000000, 0.000000, -0.414876, 0.075015, 0.000008, 0.075015, 0.000008
8.345865, -0.000000, 0.000000, -115.374828, 0.000000, 0.000000, -0.428883, 0.075015, 0.000004, 0.075015, 0.000004
8.370927, -0.000000, 0.000000, -116.077595, -0.000000, 0.000000, -0.438070, 0.075015, 0.000002, 0.075015, 0.000002
8.395990, -0.000000, 0.000000, -116.784431, -0.000000, 0.000000, -0.442381, 0.075015, 0.000001, 0.075015, 0.000001
8.421053, -0.000000, 0.000000, -117.495334, -0.000000, 0.000000, -0.441775, 0.075015, 0.000000, 0.075015, 0.000000
8.446115, -0.000000, 0.000000, -118.210305, -0.000000, 0.000000, -0.436224, 0.075015, 0.000000, 0.075015, 0.000000
8.471178, -0.000000, 0.000000, -118.929344, 0.000000, -0.000000, -0.425707, 0.075015, 0.000000, 0.075015, 0.000000
8.496241, -0.000000, 0.000000, -119.652450, -0.000000, 0.000000, -0.410212, 0.075015, 0.000000, 0.075015, 0.000000
8.521303, -0.000000, 0.000000, -120.379625, 0.000000, -0.000000, -0.389728, 0.075015, 0.000000, 0.075015, 0.000000
8.546366, -0.000000, 0.000000, -121.110859, 0.000000, -0.000000, -0.356125, 0.075015, 0.004847, 0.075015, 0.004847
8.571429, -0.000000, -0.000000, -121.846029, -0.000688, 0.000672, -0.295894, 0.058390, 0.017186, 0.051704, 0.017186
8.596491, -0.000003, -0.000001, -122.585332, -0.005853, 0.005705, -0.200778, 0.028533, 0.030300, 0.025266, 0.030300
8.621554, -0.000016, -0.000011, -123.329172, -0.013574, 0.013757, -0.079963, 0.013943, 0.041661, 0.012347, 0.041661
8.646617, -0.000052, -0.000040, -124.077634, -0.021848, 0.023718, 0.057041, 0.006814, 0.050673, 0.006034, 0.050673
8.671679, -0.000124, -0.000106, -124.830661, -0.029496, 0.035042, 0.203707, 0.003329, 0.057500, 0.002948, 0.057500
8.696742, -0.000244, -0.000233, -125.588161, -0.035861, 0.047352, 0.355599, 0.001627, 0.062527, 0.001441, 0.062527
8.721805, -0.000420, -0.000451, -126.350038, -0.040594, 0.060319, 0.509651, 0.000795, 0.066165, 0.000704, 0.066165
8.746867, -0.000657, -0.000789, -127.116215, -0.043546, 0.073635, 0.663735, 0.000388, 0.068771, 0.000344, 0.068771
8.771930, -0.000954, -0.001281, -127.886634, -0.044707, 0.087016, 0.816415, 0.000190, 0.070621, 0.000168, 0.070621
8.796992, -0.001303, -0.001958, -128.661248, -0.044149, 0.100214, 0.966668, 0.000093, 0.071930, 0.000082, 0.071930
8.822055, -0.001693, -0.002851, -129.440026, -0.042007, 0.113028, 1.113804, 0.000045, 0.072851, 0.000040, 0.072851
8.847118, -0.002107, -0.003987, -130.222947, -0.038445, 0.125304, 1.257329, 0.000022, 0.073499, 0.000020, 0.073499
8.872180, -0.002525, -0.005391, -131.009995, -0.033645, 0.136937, 1.396898, 0.000011, 0.073954, 0.000010, 0.073954
8.897243, -0.002923, -0.007085, -131.801161, -0.027792, 0.147869, 1.532262, 0.000005, 0.074272, 0.000005, 0.074272
8.922306, -0.003275, -0.009085, -132.596439, -0.021064, 0.158083, 1.663239, 0.000003, 0.074495, 0.000002, 0.074495
8.947368, -0.003553, -0.011407, -133.395827, -0.013625, 0.167599, 1.789695, 0.000001, 0.074652, 0.000001, 0.074652
8.972431, -0.003728, -0.014062, -134.199321, -0.005619, 0.176464, 1.911528, 0.000001, 0.074761, 0.000001, 0.074761
8.997494, -0.003769, -0.017058, -135.006923, 0.002835, 0.184749, 2.028664, 0.000000, 0.074837, 0.000000, 0.074837
9.022556, -0.003646, -0.020401, -135.818633, 0.011638, 0.192539, 2.141044, 0.000000, 0.074891, 0.000000, 0.074891
9.047619, -0.003327, -0.024093, -136.634453, 0.020721, 0.199932, 2.248626, 0.000000, 0.074928, 0.000000, 0.074928
9.072682, -0.002782, -0.028136, -137.454386, 0.030036, 0.207027, 2.351377, 0.000000, 0.074954, 0.000000, 0.074954
9.097744, -0.001979, -0.032529, -138.278434, 0.039559, 0.213924, 2.449277, 0.000000, 0.074973, 0.000000, 0.074973
9.122807, -0.000887, -0.037269, -139.106600, 0.049286, 0.220721, 2.542311, 0.000000, 0.074985, 0.000000, 0.074985
9.147870, 0.000525, -0.042352, -139.938888, 0.059232, 0.227504, 2.630468, 0.000000, 0.074994, 0.000000, 0.074994
9.172932, 0.002287, -0.047773, -140.775303, 0.069425, 0.234352, 2.713745, 0.000000, 0.075000, 0.000000, 0.075000
9.197995, 0.004431, -0.053528, -141.615847, 0.079905, 0.241326, 2.792141, 0.000000, 0.075005, 0.000000, 0.075005
9.223058, 0.006986, -0.059611, -142.460527, 0.090718, 0.248479, 2.865653, 0.000000, 0.075008, 0.000000, 0.075008
9.248120, 0.009983, -0.066016, -143.309348, 0.101914, 0.255841, 2.934282, 0.000000, 0.075010, 0.000000, 0.075010
9.273183, 0.013451, -0.072738, -144.162315, 0.113540, 0.263433, 2.998027, 0.000000, 0.075012, 0.000000, 0.075012
9.298246, 0.017422, -0.079772, -145.019435, 0.125639, 0.271253, 3.056882, 0.000000, 0.075013, 0.000000, 0.075013
9.323308, 0.021926, -0.087115, -145.880716, 0.138245, 0.279287, 3.110837, 0.000000, 0.075013, 0.000000, 0.075013
9.348371, 0.026992, -0.094764, -146.746165, 0.151373, 0.287503, 3.159877, 0.000000, 0.075014, 0.000000, 0.075014
9.373434, 0.032651, -0.102719, -147.615791, 0.165024, 0.295857, 3.203978, 0.000000, 0.075014, 0.000000, 0.075014
9.398496, 0.038932, -0.110979, -148.489604, 0.179167, 0.304291, 3.243107, 0.000000, 0.075014, 0.000000, 0.075014
9.423559, 0.045865, -0.119548, -149.367612, 0.193753, 0.312737, 3.277221, 0.000000, 0.075015, 0.000000, 0.075015
9.448622, 0.053479, -0.128432, -150.249827, 0.208684, 0.321119, 3.306261, 0.000000, 0.075015, 0.000000, 0.075015
9.473684, 0.061802, -0.137638, -151.136260, 0.223844, 0.329358, 3.330162, 0.000000, 0.075015, 0.000000, 0.075015
9.498747, 0.070860, -0.147177, -152.026924, 0.239054, 0.337372, 3.348839, 0.000000, 0.075015, 0.000000, 0.075015
9.523810, 0.080679, -0.157063, -152.921830, 0.254105, 0.345083, 3.362201, 0.000000, 0.075015, 0.000000, 0.075015
9.548872, 0.091283, -0.167313, -153.820989, 0.268742, 0.352413, 3.370145, 0.000000, 0.075015, 0.000000, 0.075015
9.573935, 0.102688, -0.177947, -154.724418, 0.282653, 0.359303, 3.372564, 0.000000, 0.075015, 0.000000, 0.075015
9.598997, 0.114918, -0.188988, -155.632124, 0.295502, 0.365693, 3.369347, 0.000000, 0.075015, 0.000000, 0.075015
9.624060, 0.127980, -0.200462, -156.544123, 0.306893, 0.371547, 3.360391, 0.000000, 0.075015, 0.000000, 0.075015
9.649123, 0.141888, -0.212395, -157.460423, 0.316410, 0.376840, 3.345601, 0.000000, 0.075015, 0.000000, 0.075015
9.674185, 0.156646, -0.224819, -158.381034, 0.323609, 0.381556, 3.324897, 0.000000, 0.075015, 0.000000, 0.075015
9.699248, 0.172245, -0.237762, -159.305968, 0.328027, 0.385704, 3.298240, 0.000000, 0.075015, 0.000000, 0.075015
9.724311, 0.188693, -0.251253, -160.235219, 0.329216, 0.389298, 3.265605, 0.000000, 0.075015, 0.000000, 0.075015
9.749373, 0.205970, -0.265326, -161.168805, 0.326716, 0.392362, 3.227005, 0.000000, 0.075015, 0.000000, 0.075015
9.774436, 0.224060, -0.280000, -162.106719, 0.320132, 0.394931, 3.182508, 0.000000, 0.075015, 0.000000, 0.075015
9.799499, 0.242947, -0.295304, -163.048940, 0.309097, 0.397040, 3.132197, 0.000000, 0.075015, 0.000000, 0.075015
9.824561, 0.262590, -0.311251, -163.995507, 0.293262, 0.398735, 3.076194, 0.000000, 0.075015, 0.000000, 0.075015
9.849624, 0.282969, -0.327850, -164.946394, 0.272477, 0.400045, 3.014647, 0.000000, 0.075015, 0.000000, 0.075015
9.874687, 0.304061, -0.345113, -165.901573, 0.246625, 0.400983, 2.947693, 0.000000, 0.075015, 0.000000, 0.075015
9.899749, 0.325831, -0.363031, -166.861040, 0.215610, 0.401589, 2.875494, 0.000000, 0.075015, 0.000000, 0.075015
9.924812, 0.348255, -0.381583, -167.824794, 0.179591, 0.401830, 2.798154, 0.000000, 0.075015, 0.000000, 0.075015
9.949875, 0.371315, -0.400755, -168.792815, 0.138864, 0.401611, 2.715733, 0.000000, 0.075015, 0.000000, 0.075015
9.974937, 0.394992, -0.420530, -169.765084, 0.093756, 0.400820, 2.628271, 0.000000, 0.075015, 0.000003, 0.075015
10.000000, 0.419284, -0.440879, -170.741588, 0.042016, 0.399125, 2.527501, 0.002516, 0.075015, 0.006458, 0.075015
